"treeID","stemID","tag","StemTag","sp","quadrat","gx","gy","dbh","hom","ExactDate","DFstatus","codes","date","status","agb","plot","census","plotID"
454390,968712,"014269","","oenoma","1638",331,769.3,NA,NA,NA,NA,NA,17611,"V",0,"gigante2",5,157
454395,968713,"014274","1","sloazu","1639",320.9,787.7,NA,NA,NA,NA,NA,17611,"P",0,"gigante2",5,157
454401,968714,"014280","","oenoma","1735",347.6,718.5,91,1.3,"2008-03-24","alive",NA,17615,"A",0.0370746154718939,"gigante2",5,157
454406,968715,"014285","","oenoma","1735",353.9,715.9,NA,NA,NA,NA,NA,17615.0606060606,"V",0,"gigante2",5,157
454469,968716,"014348","","oenoma","1736",356.4,729.3,NA,NA,NA,NA,NA,17616,"V",0,"gigante2",5,157
454476,968717,"014355","","oenoma","1736",357.2,724.7,NA,NA,NA,NA,NA,17616,"V",0,"gigante2",5,157
454493,968718,"014372","2","xyl1ma","1737",346.2,758.4,NA,NA,NA,NA,NA,17618,"P",0,"gigante2",5,157
454506,968719,"014385","","pipecu","1737",353.3,754,22,1.3,"2008-03-27","alive",NA,17618,"A",0.00052127770738672,"gigante2",5,157
454557,968720,"014606","","oenoma","1838",376.8,760.2,NA,NA,NA,NA,NA,17609,"V",0,"gigante2",5,157
454576,968721,"014625","","gustsu","1739",345.3,791.9,85,1.3,"2008-11-28","alive",NA,17864,"A",0.0251725861850072,"gigante2",5,157
454589,968722,"014662","","oenoma","1935",392.4,706.8,102,1.3,"2008-03-28","alive","M",17619,"A",0.05018380528324,"gigante2",5,157
454593,968723,"014666","","oenoma","1936",388.4,723.5,NA,NA,NA,NA,NA,17622,"V",0,"gigante2",5,157
454594,968724,"014667","","oenoma","1936",392.4,724.5,NA,NA,NA,NA,NA,17622,"V",0,"gigante2",5,157
454597,968725,"014670","","oenoma","1936",394.4,734.8,NA,NA,NA,NA,NA,17622,"V",0,"gigante2",5,157
454607,968726,"014680","","oenoma","1937",389.3,754.7,NA,NA,NA,NA,NA,17622,"V",0,"gigante2",5,157
454610,968727,"014683","","oenoma","1937",394.8,745.3,NA,NA,NA,NA,NA,17622,"V",0,"gigante2",5,157
454612,968728,"014685","","oenoma","1937",399.8,749.7,90,1.3,"2008-03-31","alive","M",17622,"A",0.0360043747124273,"gigante2",5,157
454629,968729,"014702","","oenoma","1939",399.2,799.6,73,1.3,"2008-03-31","alive",NA,17622,"A",0.0206958804305149,"gigante2",5,157
453845,973778,"001295","","coccpa","1938",386,772.7,NA,NA,NA,NA,NA,17622,"V",0,"gigante2",5,157
453941,973779,"005551","","oenoma","1636",320.9,728.6,NA,NA,NA,NA,NA,17609,"V",0,"gigante2",5,157
453949,973780,"005559","","oenoma","1636",330.6,737.9,NA,NA,NA,NA,NA,17609,"V",0,"gigante2",5,157
453952,973781,"005562","","oenoma","1637",324.2,740.6,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
453955,973782,"005565","","oenoma","1637",320.2,752.1,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
453956,973783,"005566","","oenoma","1637",321.4,758.5,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
453957,973784,"005567","","oenoma","1637",328.6,751.8,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
453958,973785,"005568","","oenoma","1637",328.5,746.5,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
453962,973786,"005572","","oenoma","1737",354.1,741.3,NA,NA,NA,NA,NA,17618,"V",0,"gigante2",5,157
